Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
轻骑 梦彩QM100T-12B(T1),Currently no quotation available,Qingqi,pedal,domestic,,single cylinder four stroke air-cooled  102cc,6.12,4.5/6500,,-,None,-,1769x700x1090,,,5.5,,2.5,,-,,
轻骑 金灵动 QM48QT-8(II)GC,4680,Qingqi,pedal,domestic,,single cylinder four stroke air-cooled  80cc,3.0,2.2/8000,,-,None,-,1660x700x1070,,85,6.3,48,-,,-,,
轻骑 锋致QM125-5G,Currently no quotation available,Qingqi,bending beam,domestic,,single cylinder four stroke air-cooled  119cc,7.75,5.7/7000,,-,None,-,1890x690x1115,,100,4,75,2.5,,-,,
轻骑 QM110-8A,Currently no quotation available,Qingqi,bending beam,domestic,,single cylinder four stroke air-cooled  106cc,6.8,5/7500,,-,None,-,1970x660x1100,,96,4.5,75,2.5,,-,,
轻骑 锋将QM110-8F,Currently no quotation available,Qingqi,bending beam,domestic,,single cylinder four stroke air-cooled  106cc,6.8,5/7500,,-,None,-,1960x680x1100,,100,4,75,2.5,,-,,
轻骑 添运QM110-5A,Currently no quotation available,Qingqi,bending beam,domestic,,single cylinder four stroke air-cooled  109cc,,5.5/7500,,-,-,-,1860,,100,4,75,-,,-,,
嘉鹏 甲壳虫125,6580,Jiapeng,pedal,domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,none,xx(mm),1755x700x1060,,95,5.5,80,2,,260,for,"Orange/White, Grey/White, Red/White, Blue/White, Green/White"
嘉鹏 NHR,7880,Jiapeng,pedal,domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,standard,-,1885x710x1180,750,105,8,80,-,,-,,"beige/black, silver gray/black, blue/black, gray/black, yellow/black, black"
嘉鹏 嘉睿125,6780,Jiapeng,pedal,domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,none,xx(mm),1885x680x1140,,105,7.2,80,2,,300,for,"Black, Red, Orange, Pearl White, Cement Grey, Blue"
嘉鹏 赛戈,6980,Jiapeng,pedal,domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,xx(mm),1850x720x1205,740,107,9,80,1.8,,350,,"blue, white, gray, crystal black, beige"
嘉鹏 布加迪,7980,Jiapeng,pedal,domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,-,xx(mm),1780x690x1115,,101,9,80,-,,350,for,
嘉鹏 布加迪威龙,7980,Jiapeng,pedal,domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,-,xx(mm),1780x690x1115,750,101,8.7,80,-,,350,for,"Veyron White, Bay Blue, Gadi Grey, Gadi Platinum/Tropical Brown, Military Green, Veyron White/Tropical Orange"
嘉鹏 智鹰,Currently no quotation available,Jiapeng,pedal,domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1770x680x1090,,94,0,80,-,,-,,"Bright Black, Matte Blue Star Grey, Matte Star Grey, Starlight White"
MOTOFINO 小马300,23980,MOTOFINO,Cruising Crown Prince,Domestic,Henan Wangye New Energy Technology Co.,V-type twin cylinder four stroke water-cooled  300cc,30.7,22.6/9000,,international 6-speed,standard,xx(mm),2100x830x1100,715,167,17.2,129,-,,-,,"Flame Orange, Pearl Black, Matte Black, Moon White, Lafite Red"
MOTOFINO 探越,9980,MOTOFINO,pedal,domestic,Taizhou Wangye Locomotive Co.,single cylinder four stroke water-cooled  150cc,12.9,9.5/8500,,CVT continuously variable transmission automatic transmission,standard,-,1920x790x1090,760,125,7.1,95,2.2,,300,for,
北极星 RZR XP1000,199800,North,,,,", 1000cc",,,,-,-,-,3022x1626x1873,,,36,,-,,-,,
北极星 剃刀 1000,256800,North,,,,", 1000cc",,,,-,-,-,3708x1626x1873,,,36,,-,,-,,
北极星 剃刀 S,279800,North,,,,with 1000cc,,,,-,-,-,3022x1828x1873,,,36,,-,,-,,
北极星 剃刀 RS1,179800,North,,,,with 1000cc,,,,-,-,-,2845x1626x1873,,,35.9,,-,,-,,
北极星 RZR XP4 Turbo S,299800,North,,,,with 1000cc,,,,-,-,-,3785x1828x1943,,,36,,-,,-,,
北极星 RZR XP4 1000,256800,North,,,,water cooling  1000cc,,,,-,-,-,3708x1626x1873,,,0,,-,,-,,
北极星 游侠900,230000,North,,,,900cc,,,,-,-,-,3750x1550x1930,,,0,,-,,-,,
北极星 游侠 800,212500,North,,,,dual cylinder four stroke water-cooled  760cc,,,,-,-,-,3480x1524x1930,,,0,,-,,-,,
北极星 游侠570,189800,North,,,,single cylinder four stroke  570cc,,,,-,-,-,3750x1550x1930,,,0,,-,,-,,
北极星 运动家570,119800,North,,,,single cylinder four stroke  567cc,,,,-,-,-,2184x1219x1219,,,17,,-,,-,,
北极星 横行者1000,183800,North,,,,952cc,,,,-,-,-,2090x1230x1230,,,19.9,,-,,-,,
北极星 Slingshot SLR,Currently no quotation available,North,Three Wheel,Imported,,2400cc,235.2,173/6200,,-,-,-,3800x1980x1318,,,0,,-,,-,,
北极星 Slingshot,Currently no quotation available,North,Three Wheel,Imported,,2400cc,235.2,173/6200,,-,standard,-,3800,,,0,,-,,-,,
北极星 Slingshot SL,Currently no quotation available,North,Three Wheel,Imported,,2400cc,235.2,173/6200,,-,standard,-,3800x1980x1318,,,0,,-,,-,,
UK 幽客250,18800,UK,Retro,Domestic,,inline twin cylinder four stroke air-cooled  250cc,18.4,13.5/8500,,-,standard,-,2045x830x1130,790,145,13.5,120,2.5,,-,,
UK Legend,28800,UK,Retro,Domestic,,inline dual cylinder four stroke water-cooled  400cc,36.7,27/9000,,international 6-speed,standard,xx(mm),2060x870x1110,770,185,13.5,145,-,,300,for,
UK 幽客400,28800,UK,Retro,Domestic,,single cylinder four stroke oil cooled  400cc,28.1,20.7/7200,,international 5-speed,standard,-,2080x810x1080,790,167,13.5,130,3.3,,-,,
金箭 峰神650,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
金箭 迈动310,,,pedal,domestic,,,0.8,0.6/,,,-,-,,,,,,,,-,,"Moonbeard White, Swedish Grey, Graphite Blue, Battle Black, Cheese White/Obsidian Green/Sunshine Orange, Cheese White/Cocoa Brown, Cheese White/Monet Blue/Vitality Yellow"
金箭 美乐320,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,"Moonbeard White/Vitality Yellow, Swedish Grey/Vitality Yellow, Ash Green/Vitality Orange, Battle Black/Moonlight Silver, Graphite Blue/Vitality Yellow, Cheese White/Bondi Blue/Vitality Orange, Cheese White/Urban Green/Vitality Orange, Cheese White/Monet Brown/Vitality Orange"
金箭 黑鹰300,,,pedal,domestic,,,0.8,0.6/,,,-,-,,,,,,,,-,,"Moon Moon White, Cold Grey, Battle Black, Lightning Red, Berlin Blue, Moon Moon White/Sunshine Orange/Cool Blue Green, Moon White/Titanium Red/Cool BMW Blue"
金箭 闪电500,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,"Moon Moon White/Yuanqi Yellow, Volcanic Ash/Yuanqi Yellow, Aurora Blue Green, Starry Sky Green/Coral Orange/Mirror Black, Coast Blue/Yuanqi Yellow/Mirror Black, Moon Moon White/Lake Green/Royal Blue, Moon White/Racing Yellow/Mirror Black"
金箭 金钢600,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,"Moonbeard White/Yuanqi Yellow, Naduo Grey/Yuanqi Yellow, Aurora Blue Green/Yuanqi Yellow, Battle Black/Moonlight Gold, Memphis Green/Persian Green/Glass Orange, Far Sky Blue/Bondi Blue/Yuanqi Yellow"
金金箭 朗月300,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,"Moonbeard White/Phantom Black, Swedish Grey, New Chitose Brown, Miami Blue, Blue Grey Blue, Khaki White/Morning Mist Red/Quiet Green, Khaki White/Morning Mist Red/Apple Orchid"
金箭 灵动301,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,"Moon Moon White, Swedish Grey, Bondi Blue, Star Daisy Purple, Sicily Green/Yuanqi Yellow/Yuancai Mica, Sicily Blue/Bondi Blue/Yuancai Mica"
金箭 锐,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,Icelandic white
金箭 初夏CG351,,,pedal,domestic,,,,,,,-,-,1760x680x1070,,,,,,,-,,
金箭 唯乐360,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
金箭 金客二代361,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
金金箭 金驰380,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
金箭 金果370,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
金箭 凯越502,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
金箭 凯旋R350,,,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
金箭 峰神1000,,,pedal,domestic,Jiangsu Jinjian Car Manufacturing Co.,,,,,,-,xx(mm),1910x710x1135,,130,,110,,,-,,"Dawn White/Vitality Yellow, Titanium Red/Apple Blue/Secret Realm Black, Volcanic Ash/Twilight Gold"
银钢侠 雅阁 YG125T-19,5480,Silver,pedal,domestic,,single cylinder four stroke air-cooled  125cc,6.8,5/7500,,CVT continuously variable transmission automatic transmission,-,-,1785x670x1075,730,86,5,80,2.5,,-,,
银钢侠 戴蒙YG125T-20,5580,Silver,pedal,domestic,,single cylinder four stroke air-cooled  125cc,6.8,5/7500,,CVT continuously variable transmission automatic transmission,-,-,1810x690x1115,730,108,5,85,2.5,,-,,
银钢侠 玉钻 YG125T-20,5680,Silver,pedal,domestic,,single cylinder four stroke air-cooled  125cc,6.8,5/7500,,CVT continuously variable transmission automatic transmission,-,-,1810x690x1115,730,108,5,80,2.5,,-,,
银钢侠 天使眼 YG125T-30,5580,Silver,pedal,domestic,,single cylinder four stroke air-cooled  125cc,6.8,5/7500,,CVT continuously variable transmission automatic transmission,-,-,1770x690x1100,730,109,5,80,2.5,,-,,
银钢侠 银驰 YG110-9A,4980,Silver,bending beam,domestic,,single cylinder four stroke air-cooled  107cc,6.8,5/8000,,cycle 4-speed,-,-,1890x660x1060,760,92,4.2,75,1.8,,-,,
银钢侠 银威 YG110-9B,5080,Silver,bending beam,domestic,,single cylinder four stroke air-cooled  110cc,6.8,5/8000,,cycle 4-speed,-,-,1890x660x1060,760,92,4.2,75,1.8,,-,,
银钢侠 小酷果,3188,Silver,pedal,domestic,,,,,,,-,-,1720x730x1020,720,92,,,,,-,,
银钢侠 小酷米,3198,Silver,pedal,domestic,,,,,,,-,-,1780x690x1060,720,91,,52,,,50,,
银钢侠 征途,3588,Silver,pedal,domestic,,,,,,,-,-,1890x710x1110,720,113,,52,,,50,,
银钢侠 黑鹰,3688,Silver,pedal,domestic,,,,,,,-,-,1900x700x1140,720,113,,52,,,50,,
银钢侠 蓝鹰,3798,Silver,pedal,domestic,,,,,,,-,-,1920x660x1120,720,114,,52,,,50,,
银钢侠 飞鹰,3998,Silver,pedal,domestic,,,,,,,-,-,1900x715x1100,,,,52,,,50,,
豪江 天虎HJ125-3B,5680,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.92,9.5/8500,,2,-,-,1950,,,0,90,2,,-,,
豪江 HJ150-27TY,5918,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  150cc,12.2,9/8500,,-,-,-,2025x775x1095,765,122,14,,-,,-,,
豪江 劲享HJ125-17,6060,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.9,9.5/8500,,-,-,-,2100x810x1080,,120,0,90,2,,-,,
豪江 战神,6800,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.9,9.5/8500,,-,-,-,2020x735x1060,,,0,90,2,,-,,
豪江 劲酷,6980,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  135cc,12.9,9.5/8500,,-,-,-,1920x780x1080,,,0,90,2,,-,,
豪江 烈兽,7980,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.9,9.5/8500,,-,-,-,2000x840x1130,,,0,90,2,,-,,
豪江 炫影,7999,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  150cc,13.2,9.7/9000,,-,None,-,2025x775x1095,,122,0,,-,,-,,
豪江 HJ250-A,8999,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  230cc,17.0,12.5/7500,,international 6-speed,-,-,,796,,14.5,,2.5,,-,,
豪江 HJ250-C,9680,Haojiang,Retro,Domestic,,single cylinder four stroke  230cc,17.0,12.5/7500,,international 6-speed,-,xx(mm),,760,125,18,,2.5,,-,,
豪江 烈兽三代HJ125-5B,7980,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.9,9.5/8500,,-,-,-,2000x840x1130,,120,0,90,2,,-,,
豪江 劲驰HJ150-16,4880,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  150cc,13.3,9.8/8500,,-,-,-,1920x780x1080,,,0,90,2,,-,,
豪江 劲跑HJ125-11,5480,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.9,9.5/8500,,-,-,-,1920x780x1080,,,0,90,2,,-,,
豪江 金丝猫HJ125-20,3890,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.9,9.5/8500,,-,None,-,1910x750x1050,,,0,90,2,,-,,
豪江 豪钻二代HJ125-16,5980,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.9,9.5/8500,,-,-,-,1940x710x1070,,,0,90,2,,-,,
豪江 战神二代HJ125-17,6800,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.92,9.5/8500,,2,-,-,2020,,,0,90,2,,-,,
豪江 新烈豹HJ150-8B,Currently no quotation available,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  150cc,,,,-,None,-,,,,0,,-,,-,,
豪江 经典太子HJ125-23A,4280,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.5,9.2/8500,,-,None,-,2020x840x1180,765,113,13,,-,,-,,
豪江 劲炫太子HJ150-33,Currently no quotation available,Haojiang,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  134cc,,,,five speed reciprocating,none,-,2020x840x1180,765,115,11,,-,,-,,
豪江 新烈豹HJ150-8B,Currently no quotation available,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  150cc,,,,-,None,-,,,,0,,-,,-,,
豪江 铃木王一代HJ125-26,Currently no quotation available,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  134cc,,,,cycle five speed,none,-,1940x710x1070,,115,12.2,,-,,-,,
豪江 金刚二代HJ125-18,Currently no quotation available,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  125cc,12.92,9.5/8500,,-,None,-,2030x735x1090,,120,0,90,-,,-,,
豪江 劲动太子HJ125-33,Currently no quotation available,Haojiang,street car,domestic production,,single cylinder four stroke air-cooled  134cc,,,,-,None,-,2020x840x1180,765,115,11,,-,,-,,
豪江 HJ125-2C CG,Currently no quotation available,Haojiang,street car,domestic production,,4-stroke  124cc,11.6,8.5/,,-,-,-,2000x730x1050,,122,0,,-,,-,,
豪江 天怡HJ125-13,6800,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  125cc,7.1,5.2/7000,,-,-,-,1800,,,0,80,2,,-,,
豪江 劲炫天翎HJ125T-19,4180,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  125cc,7.1,5.2/7000,,-,None,-,1800,,95,4.5,80,-,,-,,
豪江 天使HJ125T-13,Currently no quotation available,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  125cc,7.1,5.2/7000,,-,None,-,1800x650x1095,740,105,5.3,,-,,-,,
豪江 鬼火HJ100T-16,Currently no quotation available,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  104cc,,,,continuously variable transmission,none,-,1735x670x1064,740,91,4.5,75,-,,-,,
豪江 喜逸HJ100T-23TY,Currently no quotation available,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  104cc,,,,-,None,-,1750x670x1040,740,91,4.5,,-,,-,,
豪江 天运HJ100T-18,Currently no quotation available,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  104cc,,,,continuously variable transmission,none,-,1895x715x1100,760,100,5.5,75,-,,-,,
豪江 HJ100T-23,4148,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  100cc,7.1,5.2/8000,,-,None,-,1750x670x1040,740,91,4.5,,-,,-,,
豪江 睿御HJ100T-17,Currently no quotation available,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  104cc,,,,Automatic,None,-,1835x678x1119,740,98,5.5,75,-,,-,,
豪江 天雅HJ100T-13TY,Currently no quotation available,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  104cc,,,,continuously variable transmission,none,-,1752x674x1082,740,91,5,75,-,,-,,
豪江 劲炫天使HJ100T-13,Currently no quotation available,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  125cc,,,,-,None,-,1800x650x1095,760,95,5.3,80,-,,-,,
豪江 劲炫钻鹰HJ125T-19,Currently no quotation available,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  125cc,,,,-,None,-,2000x665x1085,740,105,5.5,,-,,-,,
豪江 劲炫天致HJ125T-19,Currently no quotation available,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  125cc,,,,-,None,-,2000x665x1085,740,105,5.5,,-,,-,,
豪江 炫致HJ100T-20,Currently no quotation available,Haojiang,pedal,domestic,,single cylinder four stroke air-cooled  104cc,,,,-,None,-,1830x655x1104,760,93,4.5,75,-,,-,,
豪江 天悦,Currently no quotation available,Haojiang,pedal,domestic,,-,,,,-,-,-,,,,0,,-,,-,,
豪江 宇钻,Currently no quotation available,Haojiang,pedal,domestic,,4-stroke  125cc,,5.8/,,-,-,-,1820x656x1140,,100,0,,-,,-,,
立田 LT125T-5H,5280,Litian,pedal,domestic,,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,none,xx(mm),1750x680x1070,,100,0,80,-,,-,,
立田 LT125T-8H,5800,Litian,pedal,domestic,,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,none,xx(mm),1740x660x1080,740,100,4.8,,-,,-,,
立田 JL125T-7F,6880,Litian,pedal,domestic,Cixi Jinlun Locomotive Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,-,xx(mm),1920x760x1130,700,105,7,80,2,,-,,"black, white, gray, blue"
立田 猛士一代150,7980,Litian,pedal,domestic,,single cylinder four stroke air-cooled  150cc,8.3,6.1/7500,,CVT continuously variable transmission automatic transmission,-,xx(mm),203x80x1330,750,120,10,,3,,-,,
立田 猛士三代150,8680,Litian,pedal,domestic,,single cylinder four stroke air-cooled  150cc,8.3,6.1/7500,,CVT continuously variable transmission automatic transmission,-,xx(mm),203x80x1330,750,120,10,,3,,-,,
立田 T9,9380,Litian,pedal,domestic,,single cylinder four stroke air-cooled  150cc,11.3,8.3/,,-,None,xx(mm),2150x785x1325,,151,13,86,-,,-,,
立田 T10,9880,Litian,pedal,domestic,,single cylinder four stroke air-cooled  150cc,11.3,8.3/,,-,None,xx(mm),2150x785x1325,,151,13,86,-,,-,,
迅龙 XL150-8S,6980,Xunlong,Retro,Domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  150cc,10.2,7.5/,,-,None,xx(mm),1850x770x1070,680,108,10.5,100,-,,-,,"green, blue, red, black"
迅龙 XL150-3S,Currently no quotation available,Xunlong,Retro,Domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  150cc,10.2,7.5/,,-,-,-,2070x765x1080,,118,0,85,-,,-,,
迅龙 远航太子,8980,Xunlong,Cruising Crown Prince,Domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  200cc,14.3,10.5/,,-,-,-,2250x800x1150,740,135,14,105,-,,-,,
迅龙 XL150-7S,Currently no quotation available,Xunlong,street car,domestic production,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  150cc,10.2,7.5/,,-,-,-,1960x760x1080,,118,0,85,-,,-,,
迅龙 XL125-2S,Currently no quotation available,Xunlong,Retro,Domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/,,-,-,-,1990x750x1110,,110,0,85,-,,-,,
迅龙 XL125-3S,Currently no quotation available,Xunlong,Retro,Domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/,,-,-,-,2000x760x1030,,106,0,85,-,,-,,
迅龙 XL125-S,Currently no quotation available,Xunlong,Retro,Domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/,,-,-,-,1970x745x1060,,100,0,85,-,,-,,
迅龙 XL150-5S,Currently no quotation available,Xunlong,Retro,Domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  150cc,10.2,7.5/,,-,-,-,2070x770x1080,,118,0,85,-,,-,,
迅龙 XL150-6S,Currently no quotation available,Xunlong,Retro,Domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  150cc,10.2,7.5/,,-,-,-,1930x760x1100,,118,0,85,-,,-,,
迅龙 XL150-2S,Currently no quotation available,Xunlong,Retro,Domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  150cc,10.2,7.5/,,-,-,-,215x80x1080,,115,0,85,-,,-,,
迅龙 XL125T-2S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1850x720x1100,,96,0,86,-,,-,,
迅龙 XL125T-3S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1850x680x1120,,92,0,86,-,,-,,
迅龙 XL125T-4S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1780x630x1100,,96,0,86,-,,-,,
迅龙 XL125T-6S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1850x680x1160,,92,0,86,-,,-,,
迅龙 XL125T-7S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1860x650x1160,,92,0,86,-,,-,,
迅龙 XL150T-2S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  150cc,8.0,5.9/,,CVT continuously variable transmission automatic transmission,-,-,2100x700x1000,,149,0,85,-,,-,,
迅龙 XL125T-5S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1850x670x1120,,98,0,86,-,,-,,
迅龙 XL125T-9S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1720x635x1080,,106,0,86,-,,-,,
迅龙 XL125T-10S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1810x650x1100,,99,0,86,-,,-,,
迅龙 XL125T-11S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1810x650x1100,,99,0,86,-,,-,,
迅龙 XL125T-S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1910x650x1120,,92,0,86,-,,-,,
迅龙 XL150T-S,Currently no quotation available,Xunlong,pedal,domestic,Ningbo Dongfang Lingyun Vehicle Manufacturing Co.,single cylinder four stroke air-cooled  150cc,8.0,5.9/,,CVT continuously variable transmission automatic transmission,-,-,2060x680x1140,,102,0,85,-,,-,,
LAMBRETTA V50 Special,Currently no quotation available,LAMBRETTA,Pedal,Joint Venture,,single cylinder four stroke air-cooled  50cc,3.5,2.6/7500,,CVT continuously variable transmission,none,-,1900x690x1130,770,,6.5,45,2.4,,-,,
LAMBRETTA G350,36800,LAMBRETTA,Pedal,Joint Venture,Chongqing Gaojin Industrial Co.,single cylinder four stroke water-cooled  350cc,25.8,19/7500,,CVT continuously variable transmission automatic transmission,standard,xx(mm),1956x770x1129,790,173,9.5,128,-,,-,,"white, red, black"
LAMBRETTA V125 Special,Currently no quotation available,LAMBRETTA,Pedal,Joint Venture,,single cylinder four stroke air-cooled  125cc,10.2,7.5/8500,,CVT continuously variable transmission,none,xx(mm),1890x695x1115,800,,6,95,2.8,,-,,
LAMBRETTA V200 Special,Currently no quotation available,LAMBRETTA,Pedal,Joint Venture,,single cylinder four stroke air-cooled  200cc,12.0,8.8/8000,,CVT continuously variable transmission,standard,xx(mm),1890x695x1115,800,,6,100,2.9,,-,,
LAMBRETTA X300,Currently no quotation available,LAMBRETTA,Pedal,Joint Venture,,single cylinder four stroke water-cooled  300cc,25.2,18.5/8250,,CVT continuously variable transmission automatic transmission,standard,-,1922x741x1117,790,160,7.5,128,-,,-,,
五本 蛟龙 400,13980,five,sports car,domestic production,Zhejiang Senling Motorcycle Co.,inline dual cylinder four stroke water-cooled  400cc,28.0,20.6/8300,,international 6-speed,standard,-,2070x755x1085,,,18,,-,,-,,
五本 WB125-2D,,five,Retro,Domestic,Zhejiang Senling Motorcycle Co.,single cylinder four stroke air-cooled  125cc,10.9,8/,,-,-,-,1990x840x1130,,120,0,90,-,,-,,
五本 WB125-3D,,five,Retro,Domestic,Zhejiang Senling Motorcycle Co.,single cylinder four stroke air-cooled  125cc,10.9,8/,,-,-,-,2060x730x1080,,125,0,90,-,,-,,
