Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
建隆 JL125T-12D,24900,Yongyuan,Cruising Crown Prince,Domestic,,inline dual cylinder four stroke water-cooled  350cc,22.0,16.2/,,-,None,-,2225x900x1170,,185,18.5,130,-,,-,,
建隆 JL125T-15D,7980,Jianlong,pedal,,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,standard,-,1895x680x1140,745,105,8.6,80,2,,-,of,
建隆 USR125,6980,Jianlong,pedal,,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,,-,1810x690x1110,745,105,8.6,80,-,,-,,"Deep Feather Blue, Star Moon White, Star Moon White/Red, Matte Light Silver Grey, Crystal Black, Indigo Light Blue"
建海陵 HL250B-D,7980,Jianlong,pedal,,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,standard,-,2005x680x1120,745,105,6.8,80,2.3,,-,of,"gray, white, blue, black"
海陵 HL250B-2D,19800,Hailing,Three Wheel,Domestic,,oil cooling  226cc,15.6,11.5/,,-,None,without,2200x1630x1050,,260,0,70,-,,-,,
海陵 海陵 750,24800,Hailing,Three Wheel,Domestic,,single cylinder four stroke  250cc,15.6,11.5/,,-,,-,2230x1610x1060,,265,0,70,-,,-,,
轰轰烈 顽童150-5D,48880,Hailing,Three Wheel,Domestic,,with 750cc,,,,-,None,no,2230x1590x1000,750,,26,85,-,,-,,
轰轰烈 HL250-19P,7585,Vigorous,", street car,",,,single cylinder four stroke air-cooled  150cc,12.2,9/7000,,-,,-,1710x770x98,770,108,5.5,90,-,,-,,
轰轰烈 HL 110-7X,15395,Vigorous,", street car,",,,250cc,,,,-,None,-,,,,0,,-,,-,,
轰轰烈 HL 150-N,5480,Vigorous,bending beam,,,single cylinder four stroke air-cooled  110cc,,,,-,None,-,,,,0,,-,,-,,
诺顿 FI,6280,Vigorous,", street car,",,,single cylinder four stroke air-cooled  150cc,,,,-,-,-,,,,0,,-,,-,,
诺顿 F2,Currently no quotation available,Norton,"s, sports cars,",s,,588cc,,,,-,-,-,,,,20,,-,,-,,
诺顿 Superlight Twin,Currently no quotation available,Norton,"s, sports cars,",s,,,,,,-,-,-,,,,0,,-,,-,,
诺顿 V4 RR & SS,Currently no quotation available,Norton,"s, sports cars,",s,,with 650cc,,,,-,-,-,,824,,18,,-,,-,,
诺顿 C 652 Combat,Currently no quotation available,Norton,"s, sports cars,",s,,four cylinder four stroke water-cooled  1200cc,,,,-,-,-,,,,18,,-,,-,,
诺顿 Atlas Nomad,Currently no quotation available,Norton,,,,single cylinder single stroke water-cooled  652cc,,,,-,1,-,,760,,0,,-,,-,,
诺顿 961 Sport MK II,Currently no quotation available,Norton,retro,imported,,water cooling  650cc,,,,-,1,-,,,,0,,-,,-,,
诺顿 Commando 961SF,Currently no quotation available,Norton,retro,imported,,961cc,,,,-,-,-,,810,,0,,-,,-,,
诺顿 Commando 961 SE,Currently no quotation available,Norton,retro,imported,,961cc,,,,-,-,-,,,,0,,-,,-,,
诺顿 Commando 961 Sport,Currently no quotation available,Norton,retro,imported,,"air-cooled, 961cc",,,,-,-,-,,813,,17,,-,,-,,
诺顿 Dominator SS,Currently no quotation available,Norton,retro,imported,,"air-cooled, 961cc",,,,-,-,-,,813,,17,,-,,-,,
诺顿 500 Model 18,Currently no quotation available,Norton,retro,imported,,with 961cc,,,,-,-,-,,,,0,,-,,-,,
诺顿 650SS,Currently no quotation available,Norton,retro,imported,,single cylinder single stroke air-cooled  490cc,,,,-,-,-,,,,0,,-,,-,,
诺顿 Atlas 750,Currently no quotation available,Norton,retro,imported,,with 647cc,,,,-,-,-,,,,13.5,,-,,-,,
诺顿 Atlas Ranger,Currently no quotation available,Norton,retro,imported,,dual cylinder four stroke air-cooled  745cc,,,,-,-,-,,,,13.5,,-,,-,,
诺顿 C 652 SM International,Currently no quotation available,Norton,retro,imported,,with 650cc,,,,-,-,-,,867,,15,,-,,-,,
诺顿 Classic Rotary,Currently no quotation available,Norton,retro,imported,,single cylinder single stroke water-cooled  652cc,,,,-,-,-,,830,171,20,,-,,-,,
诺顿 Commando 750 Fastback,Currently no quotation available,Norton,retro,imported,,dual cylinder two-stroke air-cooled  588cc,,,,-,-,-,,,,23,,-,,-,,
诺顿 Commando 750 Interstate,Currently no quotation available,Norton,retro,imported,,dual cylinder four stroke air-cooled  745cc,,,,-,-,-,,,,10,,-,,-,,
诺顿 Commando 750 Roadster,Currently no quotation available,Norton,retro,imported,,dual cylinder four stroke air-cooled  745cc,,,,-,-,-,,,,25,,-,,-,,
诺顿 Commando 750S Scrambler,Currently no quotation available,Norton,retro,imported,,dual cylinder four stroke air-cooled  745cc,,,,-,-,-,,,,10,,-,,-,,
诺顿 Commando 850,Currently no quotation available,Norton,retro,imported,,dual cylinder four stroke air-cooled  745cc,,,,-,-,-,,,,10,,-,,-,,
诺顿 Commando 850 JPS,Currently no quotation available,Norton,retro,imported,,with 829cc,,,,-,-,-,,,220,19,,-,,-,,
诺顿 Commando 850 Interstate,Currently no quotation available,Norton,retro,imported,,with 829cc,,,,-,-,-,,,,12,,-,,-,,
诺顿 Commando 850 Roadster,Currently no quotation available,Norton,retro,imported,,with 829cc,,,,-,-,-,,,233,19,,-,,-,,
诺顿 Commando 952,Currently no quotation available,Norton,retro,imported,,with 829cc,,,,-,-,-,,,233,19,,-,,-,,
诺顿 Commando 961 Cafe Racer,Currently no quotation available,Norton,retro,imported,,dual cylinder four stroke air-cooled  952cc,,,,-,-,-,,,,17,,-,,-,,
诺顿 Commando 961 Café Racer MKII,Currently no quotation available,Norton,retro,imported,,"air-cooled, 961cc",,,,-,-,-,,813,,17,,-,,-,,
诺顿 Commando 961,Currently no quotation available,Norton,retro,imported,,-,,,,-,-,-,,,,0,,-,,-,,
诺顿 Commando Interpol,Currently no quotation available,Norton,retro,imported,,with 961cc,,,,-,-,-,,813,,17,,-,,-,,
诺顿 Dunstall,Currently no quotation available,Norton,retro,imported,,dual cylinder two-stroke air-cooled  588cc,,,,-,-,-,,,,23,,-,,-,,
诺顿 Dominator 77,Currently no quotation available,Norton,retro,imported,,dual cylinder two-stroke ari cooled 745cc,,,,-,-,-,,800,,0,,-,,-,,
诺顿 Dominator 88,Currently no quotation available,Norton,retro,imported,,dual cylinder four stroke air-cooled  597cc,,,,-,-,-,,,,0,,-,,-,,
诺顿 Dominator 88SS,Currently no quotation available,Norton,retro,imported,,dual cylinder four stroke air-cooled  497cc,,,,-,-,-,,,,0,,-,,-,,
诺顿 Domiracer Limited Edition,Currently no quotation available,Norton,retro,imported,,dual cylinder four stroke air-cooled  497cc,,,,-,-,-,,,,0,,-,,-,,
诺顿 nternational Model 30,Currently no quotation available,Norton,retro,imported,,with 961cc,,,,-,-,-,,813,,19,,-,,-,,
诺顿 Mercury,Currently no quotation available,Norton,retro,imported,,single cylinder four stroke air-cooled  490cc,,,,-,-,-,,,,0,,-,,-,,
诺顿 阿特拉斯650,Currently no quotation available,Norton,retro,imported,,,,,,-,,-,,,,0,,-,,-,,
诺顿 Commando 750 Hi-Rider,Currently no quotation available,Norton,retro,imported,,inline dual cylinder four stroke water-cooled  650cc,70.7,52/11000,,international 6-speed,standard,-,2080x790x1090,790,178,15,,-,,-,,
诺顿 Commander Rotary,Currently no quotation available,Norton,Cruising Crown Prince,Imported,,dual cylinder four stroke air-cooled  745cc,,,,-,-,-,,,,10,,-,,-,,
诺顿 Interpol 2 Classic,Currently no quotation available,Norton,,,,with a,,,,-,-,-,,,,23,,-,,-,,
威也纳 ZL150T,Currently no quotation available,Norton,,,,dual cylinder two-stroke air-cooled  588cc,,,,-,,-,,,,23,,-,,-,,
威也纳 150ADV 威途,13680,Weiyina,pedal,,Zhejiang Jianying Locomotive Co.,single cylinder four stroke water-cooled  150cc,14.3,10.5/8500,,CVT continuously variable transmission automatic transmission,standard,without,1980x780x1138,765,130,11,115,2.4,,400,for,"Cement Grey, Dazzling Matte Grey, Pearl White, Crimson Red, Lightning Silver, Deep Sea Blue, Matte Black"
威也纳 伊丽莎150Max,13680,Weiyina,pedal,,Zhejiang Jianying Locomotive Co.,single cylinder four stroke water-cooled  150cc,14.3,10.5/8500,,CVT continuously variable transmission automatic transmission,standard,-,1960x730x1170,770,142,12,115,2.4,,400,for,
爱司卡 F02,13680,Weiyina,pedal,,Zhejiang Jianying Locomotive Co.,single cylinder four stroke water-cooled  150cc,14.3,10.5/8500,,CVT continuously variable transmission automatic transmission,standard,-,2000x720x1155,,132,11,115,2.4,,400,for,gray yellow
君侉 HJ250,28800,Aisi,pedal,,Chinese manufacturer Geling New Energy Technology (Shandong) Co.,,,,,,standard,-,1954x703x1280,795,144,,110,,,235,for,"Starlight White, Starry Night Black, Starlight Grey Silver, Flame Red"
君侉 HJ400,22800,Jun,Three Wheel,Domestic,,"single cylinder four stroke, 250cc",,,,-,-,-,,,,0,,-,,-,,
君侉 全运会定制赛车,30800,Jun,Three Wheel,Domestic,,single cylinder four stroke  400cc,,,,-,-,-,,,,0,,-,,-,,
君侉 HJ400B,35800,Jun,Three Wheel,Domestic,,with 750cc,,,,-,-,-,,,,0,,-,,-,,
君侉 CJ750,43800,Jun,Three Wheel,Domestic,,inline dual cylinder four stroke water-cooled  400cc,28.0,20.6/8300,,forward 6-speed+1-speed reverse,-,-,2300x1600x1050,,270,26,130,3.5,,-,,
君侉 R1000,62150,Jun,Three Wheel,Domestic,,with 750cc,,,,-,-,-,,,,0,,-,,-,,
欧派 迪克,138000,Jun,Three Wheel,Domestic,,with 1000cc,,,,-,-,-,,,,0,,-,,-,,
欧派 劲霸,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1730x745x1080,,,,50,,,-,,
欧派 狂飙,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1890x685x1110,,,,50,,,-,,"New Bright Black/Firefly Green, New Bright Black/Flowing Gold Orange, New Bright Black/Chinese Red, New Taff White/Space Silver, Matte Iron Grey/Matte Pearl Black"
欧派 雷电,Currently no quotation available,OPPEIN,pedal,,,,2.0,1.5/,,,-,-,1845x710x1090,,,,55,,,-,,"Bright, Blackened, Sky Blue/Bright Black, Noble Grey"
欧派 路霸,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1800x670x1080,,,,45,,,-,,"Liquid Metal Grey, Star Diamond Black, Star Shine Dark Green, High Gloss White/Matte Black, Cheese White/Glory Blue Grey, Cheese White/Brown Brown"
欧派 骑士,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1820x675x1130,,,,50,,,-,,"High gloss white, Star Diamond black, Noble blue, Electro Red, Liquid Metal Grey, Star Shine dark green"
欧派 赛娜,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1720x740x1080,,,,41,,,-,,"New Taff White, Mirror Black, Pearl Flow Blue, Illusion Brown Green, Honor Blue Grey, Silk Red/Dark Stone Green/Khaki White"
欧派 神牛K9,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1740x700x1100,,,,45,,,-,,"Crystal Diamond White, Tea Grey, New Light Grey, S800 Galaxy Blue, Brown Brown/Cream Yellow/Khaki White, Elegant Blue Blue/Sunset Orange/Star Diamond White"
欧派 翔鹰,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1810x655x1060,,,,50,,,-,,
欧派 OP5000DT,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1830x690x1080,,,,41,,,-,,"New Taff White, Mirror Black, Liquid Metal Grey, Plated Turquoise Green, Honor Blue Grey, Plated Gemstone Brown"
欧派 冠智,Currently no quotation available,OPPEIN,pedal,,Wuxi Shengbao Vehicle Manufacturing Co.,,,,,,-,-,2170x745x1200,,195,,100,,,-,,
欧派 光影,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1730x685x1020,,,,25,,,-,,"New Taff White, New Bright Black, Grey Charm Blue, Illusion Azure Cloud Grey, Metal Titanium Grey"
欧派 海鸥,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1720x700x1080,,,,25,,,-,,"khaki white/cardamom khaki green, khaki white/bay blue/silk red, electroplated turquoise green, aurora diamond gray, rock gray, star diamond black"
欧派 海棠,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1700x730x1025,,,,25,,,-,,"Star Blank/Fluorescent Green, Energy Grey/Fluorescent Green, Light Lotus Root Powder/Mousse Red, Pearl Nice Blue/Bay Blue, Grid Grey/Glutinous Yellow"
欧派 皓月,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1720x700x1080,,,,25,,,-,,"Khaki White/Pearl Fruit Green, Khaki White/Dark Stone Green/Duckling Yellow, Khaki White/S800 Wind Orange, Khaki White/Pearl Falling Cherry Powder, Golden Powder Family/Jelly Orange, Colorful Volcano Purple/Moonlight Gold, Aurora Diamond Grey/Moonlight Gold"
欧派 荷花,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1720x720x1070,,,,25,,,-,,"Star Diamond White/Moonlight Gold, Star Grey/Earth Gold, Glacier Blue/Moonlight Gold, Pearl Brown Brown Brown/Cheese White/Moonlight Gold, Beauty Powder/Cheese White, Mood Green/Cheese White"
欧派 琥珀,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1600x720x1050,,,,25,,,-,,"New Taff White, Liquid Metal Grey, New Pearl Glacier Blue, Illusion Volcanic Purple, Brown Brown/Milk White, Silk Red/Dark Stone Green/Milk White"
欧派 可可,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1660x730x1100,,,,25,,,-,,khaki white
欧派 岚竹,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1700x730x1025,,,,25,,,-,,"Star Blank/Fluorescent Green, Metal Titanium Grey, Pearl NICE Blue, Elegant Green/Fluorescent Orange, Pepper White/Fluorescent Orange"
欧派 乐豆,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1700x750x1060,,,,5025,,,-,,"Star Diamond White, Manny Brilliant Blue/Earth Gold, Galaxy Blue/Earth Gold, Starlight Grey/Earth Gold, Aurora Diamond Grey/Earth Gold, Tea Grey/Earth Gold"
欧派 乐派,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1760x720x1060,,,,25,,,-,,"Star Blank/Elegant Clear Summer Green/Elegant Light Apricot Yellow, Starry Sky White/Pearl Light Purple Blue/Elegant Sunset Orange, Metal Titanium Grey, Pearl Matcha Green, Matte Black"
欧派 乐雪,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1610x720x1040,,,,25,,,-,,"Pepper White/Light Orange, Pepper White/Plant Green, Starry Sky White/Rose Red, Starry Sky White, Elegant Grey, Pearl NICE Blue"
欧派 米可,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1700x720x1070,,,,25,,,-,,"pepper white/dark green/silky red, starry white/silky red/English blue, pig powder, plant green, cream yellow, starry white"
欧派 米娜,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1700x730x1025,,,,25,,,-,,"Star Blank/Fluorescent Green, Metal Titanium Grey, Pepper White/Fluorescent Orange, Elegant Green/Fluorescent Orange, Pearl NICE Blue"
欧派 米悦,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1700x720x1080,,,,25,,,-,,
欧派 蜜桃,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1690x720x1070,,,,25,,,-,,
欧派 魔方,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1720x700x1080,,,,25,,,-,,"khaki white/cardamom khaki green/sticky yellow, khaki white/pearl light orange, gradient liquid purple/moonlight gold, khaki white/brown/sticky yellow, Naduo gray/moonlight gold"
欧派 欧尚,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1710x710x1060,,,,25,,,-,,"Pepper White/Dark Stone Green/Silk Red, Starry Sky White/Ocean Blue/Crystal Orange, Elegant Green, Eevee Purple, Yama Black, Elegant Grey"
欧派 冠途,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1710x710x1060,,,,25,,,-,,"New Taff White/Elegant Green, New Taff White/Elegant Orange, New Taff White/Eevee Purple, Colorful Volcano Purple, Elegant Blue, Elegant Grey"
欧派 喜力,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1730x685x1020,,,,25,,,-,,"New Taff White, New Bright Black, Illusion Volcanic Purple, Illusion Azure Cloud Grey, Metal Titanium Grey"
欧派 星辰,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1660x720x1070,,,,25,,,-,,"Khaki White/Elegant Clear Green, Khaki White/Colorful Mist Light Orange, Star Diamond White/Thin Flower Blue, Khaki White/Brown Brown, Khaki White/Jelly Orange, Star Diamond White/Elegant Quiet Blue/Beautiful Red"
欧派 冠豪,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1700x740x1050,,,,25,,,-,,"Pepper White/Bay Blue, Pepper White/Dark Stone Green, Pepper White/Vibrant Yellow, Starry Sky White, Pearl NICE Blue, Swan Grey"
欧派 星空,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1760x690x1060,,,,25,,,-,,"New Taff White, New Bright Black, Fantasy Volcanic Purple, Fantasy Star Radiant Brown, Metallic Titanium Grey, Pepper White/Silk Red/British Blue"
欧派 星梦,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1960x710x1040,,,,25,,,-,,
欧派 星月,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1660x720x1070,,,,25,,,-,,"khaki white/brown brown, khaki white/matcha green, new taffeta white/sub red gold, bright black/sub red gold, iridescent brown green/sub red gold, liquid metal gray/sub red gold"
欧派 玉玺,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1760x690x1060,,,,25,,,-,,
欧派 K1 Pro,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1730x700x1070,,,,25,,,-,,"Mirror Black, New Taff White, Liquid Metal Grey, Honor Blue Grey, Illusion Brown Green, New Taff White/Silk Red/British Blue"
欧派 K8,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1770x715x1060,,,,43,,,-,,"Star Blank, Mirror Black, Lava Red, Sports Aurora Green, Geely Silver"
欧派 K13,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1810x705x1130,,,,,,,-,,
欧派 Q3,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1735x750x1060,,,,45,,,-,,"Taff White, Elegant Blue, Metallic Titanium Grey, Elegant Green, Mirror Black"
欧派 Q5,Currently no quotation available,OPPEIN,pedal,,,,0.7,0.5/,,,-,-,1530x720x1060,,,,,,,-,,"Pearl Milk White, Yi Dong Grey, Plant Green, Pearl Milk White/Chinese Red/Dark Stone Green, Yibei Purple, Duckling Yellow"
欧派 Q6,Currently no quotation available,OPPEIN,pedal,,,,0.7,0.5/,,,-,-,1530x720x1020,,,,39,,,-,,"Color Crystal Orange/Color Crystal Light Blue/Silk White, Vitality Yellow/Pearl Army Grey/Silk White, Silk White, Swan Grey, Thousand Bird Brown, Pearl Revival Green"
欧派 Q7,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1685x680x1060,,,,,,,-,,"Star Blank, Mirror Black, Sports Aurora Green, Vitality Yellow, Metal Titanium Grey"
欧派 Q8,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1690x740x1100,,,,41,,,-,,"Brown Brown, Nado Green, Pearl Dazzling Orange, Rainbow Vine Purple, Rainbow Honey Pink, Starry Sky White"
欧派 M6,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1550x730x1070,,,,41,,,-,,"Rainbow Azure Grey, Rainbow Volcano Purple, Cherry Blossom Pink Blue, Metallic Titanium Grey, Pepper White/Dark Stone Green/Silk Red"
欧派 M8,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1690x740x1100,,,,45,,,-,,
欧派 M9,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1820x730x1070,,,,50,,,-,,
欧派 M3,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1740x725x1060,,,,,,,-,,"Pearl Fruit Green, Pearl Fruit Blue, New Flame Red, Quantum Blue Grey, Interstellar Grey, Moonstone White"
欧派 N3,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1820x720x1070,,,,,,,-,,"Silk White, Vitality Yellow, New Flame Red, Crystal Light Blue, Crystal Light Purple, Crystal Light Grey"
欧派 N11,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1705x710x1050,,,,25,,,-,,"Taff white, cool red, matte black, metallic titanium gray, Bentley blue"
欧派 N13,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1710x730x1090,,,,25,,,-,,"pepper white, matte black, starry sky white, lilac linglong gold, Bentley blue"
欧派 T3,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1710x730x1090,,,,25,,,-,,
欧派 T5,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1810x705x1130,,,,,,,-,,
欧派 T7,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1810x705x1130,,,,,,,-,,
欧派 爱豆,Currently no quotation available,OPPEIN,pedal,,,,2.0,1.5/,,,-,-,1845x710x1090,,,,60,,,-,,"Crystal White, Mirror Black, Elegant Molten Gold, Metal Dark Mist Grey, Star Shine Red"
欧派 布丁,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1750x680x1070,,,,42,,,-,,"Cheese White/Sunshine Orange, Cheese White/Pearl Brown Brown, Cheese White/Pearl Lake Blue, Cheese White/Mini Pink, Swedish Grey, Cheese White/Dark Stone Green/Morning Mist Red"
欧派 格格,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1540x680x960,,,,,,,-,,"khaki white/cardamom khaki green, khaki white/brown brown, khaki white/thin floral blue, khaki white/jelly orange, Nado gray"
欧派 欧佳,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1690x740x1100,,,,41,,,-,,"New Taff White, Rainbow Volcano Purple, Pearl Milk Shake Powder, Light Purple/Pearl Purple, Pearl Milk Shake Green/Lime Green"
欧派 小满,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1800x660x1080,,,,,,,-,,
欧派 星耀,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1700x750x1060,,,,25,,,-,,"Brown Brown, Romantic Green, Sunshine Orange, Swedish Grey, Bondi Blue/Sicilian Blue, Tomato Red"
欧派 樱桃,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1690x740x1100,,,,41,,,-,,"Pepper White/Dark Stone Green/Silk Red, Mirror Black, Illusion Volcanic Purple, Illusion Azure Cloud Grey, Plated Knight Blue"
欧派 悦动,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1680x700x1070,,,,,,,-,,"Elegant Grey/Moonlight Gold, Cardamom Khaki Green/Glutinous Yellow, Mini Pink/Tomato Red, Cheese White/Dark Stone Green/Camellia Red, Cheese White/Brown Brown Brown, Cheese White/Pearl Lake Blue"
欧派 赛博,Currently no quotation available,OPPEIN,pedal,,,,0.8,0.6/,,,-,-,1760x700x1050,,,,,,,-,,"Star Blank, Pepper White/Silk Red/Dark Stone Green, Illusion Volcanic Purple, Illusion Azure Cloud Grey, Dimension White/Nado Green, Dimension White/Brown Brown Brown"
欧派 启航,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1710x700x1080,,,,,,,-,,"Pearl Coral Blue/Silk Silver/Space Silver/High gloss Black, Camellia Red/High gloss White/Space Silver/High gloss Black, Camellia Red/High gloss Black/Space Silver, Moore Green/Starlight Grey/High gloss Black, National Color Brilliant Blue/High gloss White/Space Silver"
欧派 欧冠,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1845x710x1090,,,,,,,-,,"Taff White, New Bright Black, Illusion Azure Cloud Grey, Illusion Star Radiant Brown, Interstellar Grey, Titanium Blue"
欧派 锐鹰,Currently no quotation available,OPPEIN,pedal,,,,,,,,-,-,1780x690x1110,,,,50,,,-,,
君侉 HJ250,Currently no quotation available,OPPEIN,pedal,,,,0.5,0.4/,,,-,-,1720x710x1090,,,,25,,,-,,"New Taff White, Mirror Black, Colorful Blue Extreme Grey, Illusion Brown Green, Liquid Metal Grey"
君侉 HJ400,22800,Jun,Three Wheel,Domestic,,"single cylinder four stroke, 250cc",,,,-,-,-,,,,0,,-,,-,,
君侉 全运会定制赛车,30800,Jun,Three Wheel,Domestic,,single cylinder four stroke  400cc,,,,-,-,-,,,,0,,-,,-,,
君侉 HJ400B,35800,Jun,Three Wheel,Domestic,,with 750cc,,,,-,-,-,,,,0,,-,,-,,
君侉 CJ750,43800,Jun,Three Wheel,Domestic,,inline dual cylinder four stroke water-cooled  400cc,28.0,20.6/8300,,forward 6-speed+1-speed reverse,-,-,2300x1600x1050,,270,26,130,3.5,,-,,
君侉 R1000,62150,Jun,Three Wheel,Domestic,,with 750cc,,,,-,-,-,,,,0,,-,,-,,
探骊 玩家,138000,Jun,Three Wheel,Domestic,,with 1000cc,,,,-,-,-,,,,0,,-,,-,,
探骊 毒刺,17800,Tanli,Off road,Domestic,,,,,,,-,-,1850x770x1080,810,59,,75,,,100,,
博斯豪斯 Standard Bike,24980,Tanli,Off road,Domestic,,,,,,,-,-,1880x770x1088,840,67,,85,,,120,,Black Blue
博斯豪斯 Super Sport Bike,,Boshaus,Cruising Crown Prince,Imported,,V-type eight cylinder four stroke water-cooled  7500cc,570.8,419.8/,,-,-,-,,,,0,,-,,-,,
博斯豪斯 Standard Bike Bagger,,Boshaus,Cruising Crown Prince,Imported,,V-type eight cylinder four stroke water-cooled  7500cc,570.8,419.8/,,-,-,-,,,,0,,-,,-,,
阿诺斯 GY150T-6A,,Boshaus,Cruising Crown Prince,Imported,,V-type eight cylinder four stroke water-cooled  6200cc,451.1,331.8/5900,,-,-,-,,,,0,,-,,-,,
阿诺斯 GY150T-6,Currently no quotation available,Arnos,pedal,,Chinese manufacturer Qingqi Group Jiangmen Lightspeed Motorcycle Co.,single cylinder four stroke water-cooled  150cc,,,,CVT continuously variable transmission automatic transmission,-,-,1940x740x1185,,133,0,85,-,,-,,
阿诺斯 GY150T-6B,Currently no quotation available,Arnos,pedal,,Chinese manufacturer Qingqi Group Jiangmen Lightspeed Motorcycle Co.,single cylinder four stroke water-cooled  150cc,13.6,10/,,CVT continuously variable transmission automatic transmission,-,-,1990x700x1125,,116,0,85,-,,-,,
凯撒 悦途150,Currently no quotation available,Arnos,pedal,,Chinese manufacturer Qingqi Group Jiangmen Lightspeed Motorcycle Co.,single cylinder four stroke water-cooled  150cc,13.6,10/,,CVT continuously variable transmission automatic transmission,-,-,1971x784x1195,,135,0,85,-,,-,,
