Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
元元图 GS525,35980,yuan,tension,domestically produced,Chongqing New Sensation Motorcycle Co.,inline dual cylinder four stroke water-cooled  500cc,53.8,39.6/8500,,international 6-speed,standard,xx(mm),2220x915x1400,810,225,21,165,-,,-,,"Phantom Grey, Phantom Red"
力腾动力 V560,,,Cruising Crown Prince,Domestic,,V-type twin cylinder four stroke water-cooled  560cc,55.7,41/8000,,international 6-speed,standard,-,2165x820x1470,710,210,18,155,-,,-,,
力腾动力 190轻奢踏板,,,pedal,domestic,,single cylinder four stroke water-cooled  190cc,20.4,15/8250,,CVT continuously variable transmission automatic transmission,standard,-,1965x750x1095,755,,10,120,-,,-,,
力腾动力 180边三轮,,,Three Wheel,Domestic,,single cylinder four stroke water-cooled  180cc,20.4,15/8250,,CVT continuously variable transmission automatic transmission,standard,-,1965x1570x1095,750,,13,,-,,-,,
力腾动力 军刀190(多功能车),15680,Liteng,bending beam,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke water-cooled  190cc,20.4,15/8250,,CVT continuously variable transmission automatic transmission,standard,-,1998x852x1116,780,128,10,120,2.6,,350,,"Polar Grey, Desert Yellow, Snowfield White, Thousand Mountains Green"
力腾动力 军刀150,,,bending beam,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke water-cooled  150cc,15.6,11.5/8500,,CVT continuously variable transmission automatic transmission,standard,-,2039x825x1116,780,128,10,99,2.5,,-,,
力腾动力 ATV300,,,,,,300cc,,,,CVT continuously variable transmission automatic transmission,-,-,1950x1100x915,,275,13,,-,,-,,
力腾动力 LT-700,,,,,,inline dual cylinder four stroke oil cooled  700cc,74.8,55/8500,,CVT continuously variable transmission automatic transmission,-,-,3190x1250x1242,,310,38,,-,,-,,
新威骑 探路者 RX2000,78000,New,Cruising Crown Prince,Domestic,,"V-type twin cylinder four stroke air-cooled, 2000cc",100.6,74/5050,,forward 6-speed+1-speed reverse,standard,-,2320x980x1150,700,,18,195,-,,-,,"Shadow Black, Bright Moon White, Star Shine Silver, Weiqi Red, Bright Moon White, Shadow Black"
新威骑 漫游者 RL2000,128000,New,Cruising Crown Prince,Domestic,,"V-type twin cylinder four stroke air-cooled, 2000cc",100.6,74/5050,,forward 6-speed+1-speed reverse,standard,-,2600x1010x1360,700,,18,180,-,,-,,"Weiqi Red, Haoyue White, Phantom Black, Starry Silver, Haoyue White, Phantom Black"
新威骑 天行者 WR1000,96000,New,Three Wheel,Domestic,,V-type twin cylinder four stroke water-cooled  1000cc,81.6,60/7500,,CVT continuously variable transmission automatic transmission,standard,xx(mm),2570x1480x1190,620,,23,,-,,-,,"Dazzling Shadow Blue Star Shining Silver Phantom Black, Phantom Black, Weiqi Red Star Shining Silver Phantom Black"
新威骑 环游者 VS2000,168000,New,Three Wheel,Domestic,,"V-type twin cylinder four stroke air-cooled, 2000cc",100.6,74/5050,,forward 6-speed+1-speed reverse,standard,-,2425x1725x1150,700,,18,160,-,,-,,"Weiqi Red, Hao Moon White, Phantom Black, Phantom Black, Star Shine Silver"
新威骑 领航者 VT2000,,New,Three Wheel,Domestic,,"V-type twin cylinder four stroke air-cooled, 2000cc",100.6,74/5050,,forward 6-speed+1-speed reverse,standard,-,2700x1295x1380,700,,18,160,-,,-,,"Starry Silver, Phantom Black, Weiqi Red, Haoyue White, Phantom Black, Haoyue White"
大地鹰王 沙尘暴DD150E-2D,10500,Earth,Cruising Crown Prince,Domestic,Chinese manufacturer Lifeng Group Co.,single cylinder four stroke air-cooled  150cc,13.6,10/8500,,international 5-speed,none,xx(mm),2250x890x1170,,144,14,95,2.36,,-,,"black, yellow"
大地鹰王 沙尘暴DD250E-5D,13800,Earth,Cruising Crown Prince,Domestic,,with 255cc,,,,-,None,-,2280x895x1150,600,160,0,110,-,,-,,
大地鹰王 街头霸王DD250E-9A,14646,Earth,Cruising Crown Prince,Domestic,,", 250cc",20.1,14.8/,,-,None,-,2280x875x1110,,180,14,110,3.19,,-,,
大地鹰王 DD250E-9B,15748,Earth,Cruising Crown Prince,Domestic,,", 250cc",16.72,12.3/,,-,None,-,2280,,,0,110,-,,-,,
大地鹰王 街头霸王DD250E-9D,16800,Earth,Cruising Crown Prince,Domestic,Chinese manufacturer Lifeng Group Co.,inline dual cylinder four stroke water-cooled  250cc,20.1,14.8/8500,,international 5-speed,none,xx(mm),2275x890x1390,690,187,14,110,3.19,,-,,
大地鹰王 DD250V,17800,Earth,Cruising Crown Prince,Domestic,Chinese manufacturer Lifeng Group Co.,"V-type twin cylinder four stroke air-cooled, 250cc",17.0,12.5/8500,,international 5-speed,-,xx(mm),2331x950x1319,735,190,13.5,115,3.19,,-,,"Black, Red, Air Force Grey"
大地鹰王 街头霸王DD400E-9D,18800,Earth,Cruising Crown Prince,Domestic,Chinese manufacturer Lifeng Group Co.,inline dual cylinder four stroke water-cooled  400cc,29.9,22/8500,,international 6-speed,none,xx(mm),2250x890x1170,730,178,14,120,4.23,,-,,
大地鹰王 梦马400,25800,Earth,Cruising Crown Prince,Domestic,Chinese manufacturer Lifeng Group Co.,inline dual cylinder four stroke water-cooled  400cc,29.9,22/8500,,-,None,xx(mm),2390x840x1125,,189,13,120,4.21,,-,,"Black, Matte Black, Air Force Grey, Diamond White, Blue"
大地鹰王 迪特娜 DD 350E-6C,Currently no quotation available,Dadi,Cruising Crown Prince,Domestic,,inline dual cylinder four stroke water-cooled  350cc,23.1,17/,,international 6-speed,none,xx(mm),2320x930x1120,13.5,190,0,140,-,,-,,
大地鹰王 轻太子边三轮 DD150B,16800,Earth,Three Wheel,Domestic,No. 26 Changjiang Road,single cylinder four stroke air-cooled  150cc,10.9,8/7500,,forward 4th gear+reverse gear,-,xx(mm),2055x1605x1140,720,219,13.5,75,2.42,,-,,"Army Green, Air Force Grey, Black, White, Matte Black, Avocado Green"
大地鹰王 小暴龙边三轮DD250B,23800,Earth,Three Wheel,Domestic,Chinese manufacturer Lifeng Group Co.,inline dual cylinder four stroke water-cooled  250cc,20.1,14.8/8500,,forward 5th gear+reverse gear,none,xx(mm),2090x1635x1075,,287,18,90,3.28,,-,,
大地鹰王 大太子边三轮 DD400B,27800,Earth,Three Wheel,Domestic,Chinese manufacturer Lifeng Group Co.,inline dual cylinder four stroke water-cooled  400cc,29.9,22/8500,,forward 5th gear+reverse gear,none,xx(mm),2250x1680x1170,730,288,18.5,110,4.29,,-,,"Army Green, Air Force Grey, Desert Yellow, Red, Black"
大地鹰王 梦马边三轮DD400B-2,30800,Earth,Three Wheel,Domestic,Chinese manufacturer Lifeng Group Co.,inline dual cylinder four stroke water-cooled  400cc,29.9,22/8500,,forward 5th gear+reverse gear,none,xx(mm),2360x1615x1125,730,293,13,90,4.05,,-,,"white, red, blue, black, military green, air force gray, desert yellow, sky blue"
大地鹰王 DD400B-3,31800,Earth,Three Wheel,Domestic,Chinese manufacturer Lifeng Group Co.,inline dual cylinder four stroke water-cooled  400cc,29.9,22/8500,,forward 5-speed+1-speed reverse,-,xx(mm),2275x1700x1390,730,301,20,110,4.29,,-,,"Army Green, Air Force Grey, Black, Desert Yellow"
大地鹰王 小暴龙DD250R,13800,Earth,street car,domestic production,,inline dual cylinder four stroke water-cooled  250cc,20.1,14.8/,,-,None,-,2070x750x1070,700,177,18,110,2.33,,770,,"Lake Blue, Diamond White, and Matte Black"
大地鹰王 西部风情 DD250G-3N,15800,Earth,street car,domestic production,,inline dual cylinder four stroke water-cooled  250cc,20.39,15/,,-,-,-,2155,,165,18,120,-,,-,,
大地鹰王 DD 350G 远程之鹰,Currently no quotation available,Dadi,street car,domestic production,,dual cylinder water-cooled  350cc,23.1,17/,,-,-,-,,,179,26,125,-,,-,,
大地鹰王 马克KL4500D,19800,Earth,street car,domestic production,Chinese manufacturer Lifeng Group Co.,,,,,,-,xx(mm),2015x845x1110,710,166,,100,,,120,,"Red, Yellow, Bright Black, Green, White"
庄威 威风250-2,19999,Zhuangwei,Cruising Crown Prince,Domestic,Zhejiang Yongyuan Motorcycle Manufacturing Co.,V-type twin cylinder four stroke water-cooled  250cc,19.0,14/8500,,international 6-speed,standard,-,2140x920x1160,730,195,18,128,-,,450,for,"black, matte black, red, orange, gray, matte gray, green"
庄威 灵江250,19999,Zhuangwei,Cruising Crown Prince,Domestic,Zhejiang Yongyuan Motorcycle Manufacturing Co.,V-type twin cylinder four stroke water-cooled  250cc,19.0,14/8500,,international 6-speed,standard,-,2140x920x1160,730,198,18,128,-,,-,of,"black, sub black, red, orange, gray, sub gray, green"
庄威 V400,23999,Zhuangwei,Cruising Crown Prince,Domestic,Zhejiang Yongyuan Motorcycle Manufacturing Co.,V-type twin cylinder four stroke water-cooled  400cc,32.0,23.5/8500,,international 6-speed,standard,xx(mm),2080x860x1120,710,175,18,140,-,,-,of,
庄威 威霸400,25999,Zhuangwei,Cruising Crown Prince,Domestic,Zhejiang Yongyuan Motorcycle Manufacturing Co.,V-type twin cylinder four stroke water-cooled  400cc,32.0,23.5/8500,,international 6-speed,standard,-,2080x860x1120,710,180,18,140,-,,-,of,
庄威 威武500-9,31800,Zhuangwei,Cruising Crown Prince,Domestic,Zhejiang Yongyuan Motorcycle Manufacturing Co.,V-type twin cylinder four stroke water-cooled  500cc,40.8,30/8000,,international 6-speed,standard,-,2180x920x1400,710,227,18,128,-,,-,of,"black, matte black, red"
庄威 YY800-2,43999,Zhuangwei,Cruising Crown Prince,Domestic,Zhejiang Yongyuan Motorcycle Manufacturing Co.,V-type twin cylinder four stroke water-cooled  800cc,61.2,45/7000,,international 6-speed,standard,xx(mm),2340x885x1170,690,246,16,180,-,,-,,
庄威 威迪南,39999,Zhuangwei,Three Wheel,Domestic,Zhejiang Yongyuan Motorcycle Manufacturing Co.,V-type twin cylinder four stroke water-cooled  400cc,32.0,23.5/8500,,international 6-speed,standard,xx(mm),2460x1410x1205,730,308,18,118,-,,-,of,"Red, Black, Green, White, Orange"
布沃克 VMX,8680,Buwoke,Retro,Domestic,Chongqing Zhongwo Car Industry Co.,single cylinder four stroke air-cooled  230cc,16.3,12/8000,,international 5-speed,standard,-,1947x846x1100,790,127,8,120,-,,280,,"Orange, Black"
布沃克 JY250软尾版,24800,Buwoke,Cruising Crown Prince,Domestic,,dual cylinder four stroke air-cooled  250cc,17.0,12.5/8500,,international 5-speed,-,-,2210x795x1260,630,140,9,120,2.9,,-,,
布沃克 霸路特V600,43800,Buwoke,Cruising Crown Prince,Domestic,,V-type twin cylinder four stroke water-cooled  600cc,58.5,43/8000,,-,standard,-,2700x860x1410,650,290,0,,-,,-,of,
布沃克 JY250硬尾版,20800,Buwoke,Cruising Crown Prince,Domestic,,"V-type twin cylinder four stroke air-cooled, 250cc",17.0,12.5/8500,,international 5-speed,-,-,2310x795x126,630,140,9,120,2.9,,-,,
布沃克 火石250,22800,Buwoke,Cruising Crown Prince,Domestic,,"V-type twin cylinder four stroke air-cooled, 250cc",17.0,12.5/,,international 5-speed,none,xx(mm),2256x880x950,,,0,,2.9,,-,,
宝雕 BD 350,13800,Treasure,sports car,domestic production,,with 350cc,,,,international 5-speed,none,xx(mm),,,163,17,145,-,,-,,
宝雕 R1S500,22800,Treasure,sports car,domestic production,,inline dual cylinder four stroke water-cooled  450cc,29.9,22/7500,,international 6-speed,none,xx(mm),2090x700x1235,760,186,18,160,3.54,,500,,
宝雕 BD400RR,26800,Treasure,sports car,domestic production,,inline dual cylinder four stroke water-cooled  450cc,29.9,22/7500,,international 6-speed,standard,xx(mm),2090x700x1235,760,186,18,160,3.54,,500,,"Green Black, Bright Black, Red Shark, Black Red, Matte Black, White Blue Black No.2, White Blue Black No.4, Black Grey Shark"
宝雕 BD500RR,30800,Treasure,sports car,domestic production,,inline dual cylinder four stroke water-cooled  500cc,29.9,22/7500,,international 6-speed,standard,xx(mm),2090x700x1235,760,186,18,160,3.54,,500,,
宝雕 BD200-5A,Currently no quotation available,Baodiao,sports car,domestic production,Jiangsu Meijunte Technology Co.,single cylinder  200cc,14.7,10.8/,,-,-,-,2040x710x1220,,156,0,105,-,,-,,
宝雕 风暴200,13800,Treasure,Cruising Crown Prince,Domestic,Jiangsu Meijunte Technology Co.,single cylinder four stroke air-cooled  200cc,14.7,10.8/7500,,international 6-speed,-,-,2310x840x1090,680,156,14,105,-,,-,,"Victory Red, Dawn White"
宝雕 BD200R,13800,Treasure,street car,domestic production,Jiangsu Meijunte Technology Co.,single cylinder four stroke air-cooled  200cc,14.7,10.8/7500,,international 6-speed,standard,xx(mm),2040x780x1100,780,154,17,105,2.78,,600,,"black, red, blue, gray"
宝宝雕 N19-400,26800,Treasure,street car,domestic production,,inline dual cylinder four stroke water-cooled  450cc,29.9,22/7500,,international 6-speed,standard,xx(mm),2040x800x1120,760,182,18,130,2.7,,500,,"Black/Red, Silver/Green, Matte Black, Black"
宝雕 BD400R,26800,Treasure,street car,domestic production,,inline dual cylinder four stroke water-cooled  450cc,36.7,27/9000,,international 6-speed,standard,xx(mm),2040x780x1100,780,190,18,130,2.7,,500,,"black, red, blue, gray"
宝雕 N19-500,30800,Treasure,street car,domestic production,,inline dual cylinder four stroke water-cooled  450cc,29.9,22/7500,,international 6-speed,standard,xx(mm),2040x800x1120,760,182,18,130,2.7,,500,,
宝雕 BD200-6B,Currently no quotation available,Baodiao,street car,domestic production,Jiangsu Meijunte Technology Co.,single cylinder four stroke  200cc,14.7,10.8/,,-,-,-,,,,0,,-,,-,,
建设 柯基,6888,building,Retro,Domestic,,single cylinder four stroke air-cooled  110cc,6.9,5.1/7500,,cycle 4th gear,none,xx(mm),1850x670x1000,,85,0,,-,,-,,"khaki white, British green, sapphire blue, atomic gray, lava orange"
建设 RS250,11800,building,Retro,Domestic,,single cylinder four stroke water-cooled  250cc,24.9,18.3/6500,,international 6-speed,none,xx(mm),2000x760x1060,780,155,12,120,-,,-,,
建设 珮格400,25800,building,Retro,Domestic,,inline dual cylinder four stroke water-cooled  400cc,36.7,27/9000,,international 6-speed,standard,xx(mm),2066x869x1111,,185,13.5,145,-,,300,for,
建设 RV250,14300,building,tension,domestically produced,,single cylinder four stroke water-cooled  250cc,24.9,18.3/8500,,-,standard,xx(mm),2100x870x1120,760,155,14,120,-,,-,,
建设 RT250,11800,building,street car,domestic production,,single cylinder four stroke water-cooled  250cc,25.2,18.5/8500,,-,-,-,2100x870x1120,760,155,14,105,-,,-,,"gray, blue"
建设 夜鹰 500,23800,building,street car,domestic production,,inline dual cylinder four stroke water-cooled  500cc,44.9,33/8500,,international 6-speed,standard,xx(mm),2150x890x1180,760,196,16,150,-,,-,,"Iron gray, frosted wine red, frosted black"
建设 侦查兵 700,47800,building,Cruising Crown Prince,Domestic,,V-type twin cylinder four stroke water-cooled  700cc,48.9,36/7000,,international 6-speed,standard,xx(mm),2390x830x1070,720,260,20,170,-,,-,,"green, red"
建设 肥霸 900,53800,building,Cruising Crown Prince,Domestic,,V-type twin cylinder four stroke water-cooled  900cc,61.2,45/6500,,-,standard,xx(mm),2390x830x1070,720,260,20,180,-,,-,,
建设 UF,7680,building,pedal,domestic,,single cylinder four stroke air-cooled  110cc,8.2,6/,,CVT continuously variable transmission automatic transmission,-,-,1880x685x1130,,100,0,80,-,,-,,
建设 猎鹰,7980,building,pedal,domestic,,single cylinder four stroke air-cooled  110cc,7.3,5.4/,,CVT continuously variable transmission automatic transmission,-,-,1845x680x1100,,,0,,-,,-,,
建设 JS125T-9D,7980,building,pedal,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,8.8,6.5/7500,,CVT continuously variable transmission automatic transmission,-,-,1820x700x1090,760,109,8.5,85,-,,-,of,
建设 魔兽,7980,building,pedal,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,8.8,6.5/7500,,CVT continuously variable transmission automatic transmission,-,-,1870x680x1170,760,108,6,85,-,,-,of,gray
建设 1889舰,8190,building,pedal,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,8.8,6.5/7500,,CVT continuously variable transmission automatic transmission,-,-,1870x680x1170,760,108,6,85,-,,-,of,gray
建设 DUOMO,13680,building,pedal,domestic,,single cylinder four stroke water-cooled  150cc,14.0,10.3/,,CVT continuously variable transmission automatic transmission,standard,-,1900x690x1185,,126,0,97,-,,-,,
建设 JS150T-4D,13680,building,pedal,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke water-cooled  150cc,14.0,10.3/8500,,CVT continuously variable transmission automatic transmission,-,-,1950x780x1350,760,146,12.5,97,-,,-,of,
建设 雅格,13880,building,pedal,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke water-cooled  150cc,14.0,10.3/8500,,CVT continuously variable transmission automatic transmission,standard,-,1990x670x1120,760,147,12.5,95,-,,-,of,"beige, green, cola white, gray, white, gray green"
建设 JS110T-3D,,building,pedal,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  110cc,8.2,6/,,CVT continuously variable transmission automatic transmission,-,-,1830x680x1080,,100,0,83,-,,-,,
建设 JS110T-10D,,building,pedal,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  110cc,7.3,5.4/,,CVT continuously variable transmission automatic transmission,-,-,1845x680x1100,,102,0,80,-,,-,,
建设 JS125T-D,,building,pedal,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,8.6,6.3/,,CVT continuously variable transmission automatic transmission,-,-,1825x685x1100,,108,0,85,-,,-,,
建设 JS125B,15880,building,Three Wheel,Domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,8.8,6.5/7500,,CVT continuously variable transmission automatic transmission,-,-,1755x1460x1060,,138,0,80,-,,-,,Orange/White
建设 JS110-9D,,building,bending beam,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  110cc,6.9,5.1/,,-,-,-,1910x700x1100,,90,0,80,-,,-,,
建设 JS125-29D,,building,bending beam,domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,8.8,6.5/,,-,-,-,1950x670x1070,,98,0,84,-,,-,,
建设 JS125-D,,building,Retro,Domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,10.2,7.5/,,-,-,-,2070x720x1150,,115,0,85,-,,-,,
建设 JS150-D,,building,Retro,Domestic,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  150cc,11.0,8.1/,,-,-,-,2030x730x1060,,116,0,85,-,,-,,
恒舰 500X,30800,Hengjian,tension,domestically produced,,inline dual cylinder four stroke water-cooled  500cc,47.6,35/8500,,international 6-speed,standard,-,2150x840x1400,780,178,20,,-,,-,,
恒舰 美洲豹 CB-518,29800,Hengjian,tension,domestically produced,Chongqing Zhongwo Car Industry Co.,inline dual cylinder four stroke water-cooled  500cc,47.6,35/8500,,international 6-speed,none,xx(mm),2150x840x1400,750,175,20,130,3.5,,570,for,"gray, white, red, black"
恒舰 大海道,36800,Hengjian,tension,domestically produced,,inline dual cylinder four stroke water-cooled  500cc,47.6,35/8500,,international 6-speed,standard,xx(mm),2240x945x1370,820,198,42,160,-,,1200,,blue and white
恒舰 魔术师 HJ250GY,9453,Hengjian,Off road,Domestic,,single cylinder four stroke air-cooled  250cc,15.6,11.5/,,-,None,-,1960x780x1110,,120,0,110,-,,-,,
恒舰 S1,12980,Hengjian,Off road,Domestic,Chongqing Zhongwo Car Industry Co.,single cylinder four stroke air-cooled  250cc,21.8,16/8500,,international 6-speed,-,-,2120x820x1190,880,130,13,,-,,-,,
恒舰 S5,22800,Hengjian,Off road,Domestic,Chongqing Zhongwo Car Industry Co.,single cylinder four stroke water-cooled  250cc,28.6,21/9250,,international 6-speed,none,xx(mm),2170x820x1240,900,130,8,125,2.9,,-,of,
恒舰 Z300,27980,Hengjian,Off road,Domestic,,single cylinder two-stroke water-cooled  300cc,57.9,42.6/8500,,international 6-speed,none,xx(mm),2210x930x1290,960,,9,,-,,-,,
嘉爵 R19,Currently no quotation available,Jiajue,street car,domestic production,,", 250cc",,,,-,None,-,2060x710x1140,805,150,18.5,,-,,-,,
嘉爵 CNR800·睿,33800,Jiajue,sports car,domestic production,Zhejiang Jiajue Motorcycle Manufacturing Co.,inline four cylinder four stroke water-cooled  800cc,115.6,85/,,international 6-speed,standard,-,,,206,0,,-,,-,,
嘉爵 R18,Currently no quotation available,Jiajue,street car,domestic production,,", 250cc",,,,-,None,-,2060x710x1140,805,150,18.5,160,-,,-,,
嘉爵 N10,Currently no quotation available,Jiajue,,domestic production,,single cylinder four stroke water-cooled  400cc,35.6,26.2/7600,,international 5-speed,none,-,2030x709x1127,800,150,20,170,-,,-,,
嘉爵 C8,Currently no quotation available,Jiajue,street car,domestic production,,single cylinder four stroke air-cooled  300cc,9.8,7.2/8000,,5-speed,None,-,2061x730x1106,800,139,12,90,-,,-,,
嘉爵 N19,Currently no quotation available,Jiajue,street car,domestic production,Zhejiang Jiajue Motorcycle Manufacturing Co.,inline dual cylinder four stroke water-cooled  250cc,,,,-,standard,-,2090x820x1045,795,163,18.5,,-,,400,,"silver green, black red, candy green"
嘉爵 CN800·臻,,Jiajue,street car,domestic production,Zhejiang Jiajue Motorcycle Manufacturing Co.,inline four cylinder four stroke water-cooled  800cc,115.6,85/,,-,-,-,2140x780x1135,,206,0,,-,,-,,
嘉爵 领航者500,,Jiajue,Cruising Crown Prince,Domestic,,inline dual cylinder four stroke water-cooled  500cc,38.1,28/8500,,international 6-speed,standard,xx(mm),2225x875x1150,760,214,20,160,4.3,,500,,
嘉爵 米兰达,7580,Jiajue,pedal,domestic,Zhejiang Jiajue Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,8.2,6/,,CVT continuously variable transmission automatic transmission,-,-,1820x705x1130,750,98,8.5,80,-,,-,,"Diamond White, Ivory White, Light Blue, Milan Grey, Lime Green, Matte Iron Grey, Matte Black"
嘉爵 V5,8850,Jiajue,pedal,domestic,Zhejiang Jiajue Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,8.2,6/,,CVT continuously variable transmission automatic transmission,-,-,1810x645x1140,750,98,8.5,80,-,,-,,
嘉爵 幻影150X,12800,Jiajue,pedal,domestic,Zhejiang Jiajue Motorcycle Manufacturing Co.,single cylinder four stroke water-cooled  150cc,14.3,10.5/8500,,CVT continuously variable transmission automatic transmission,standard,-,1990x780x1330,780,126,10,105,3,,260,for,
嘉嘉爵 明悦150,9980,Jiajue,pedal,domestic,,single cylinder four stroke water-cooled  150cc,,,,CVT continuously variable transmission automatic transmission,none,xx(mm),,,,0,,-,,-,,
嘉爵 启程150,13980,Jiajue,pedal,domestic,,single cylinder four stroke water-cooled  150cc,14.3,10.5/,,CVT continuously variable transmission automatic transmission,standard,xx(mm),1950x763x1153,795,,11,,-,,-,,
摩托莫里尼 赛文佐6½,44800,motorcycle,Retro,Domestic,Zhejiang Morini Locomotive Co.,inline dual cylinder four stroke water-cooled  650cc,61.2,45/8500,,international 6-speed,standard,xx(mm),2150x890x1155,795,,15.5,180,-,,-,,
摩托莫里尼 Sport 1200,,motorcycle,street car,domestic production,,V-type twin cylinder four stroke water-cooled  1200cc,,,,-,-,-,,840,,18,,-,,-,,
摩托莫里尼 CALIBRO 坏小子,34800,motorcycle,Cruising Crown Prince,Domestic,Zhejiang Morini Locomotive Co.,inline dual cylinder four stroke water-cooled  700cc,74.8,55/8500,,international 6-speed,standard,-,2220x860x1260,705,228,15,175,-,,-,,
摩托莫里尼 3½GT Strada,,motorcycle,street car,domestic production,,,,,,-,-,-,,,,16,,-,,-,,
摩托莫里尼 3½ Sport,,motorcycle,street car,domestic production,,with 350cc,,,,-,-,-,,,,14,,-,,-,,
摩托莫里尼 Milano,,motorcycle,street car,domestic production,,-,,,,-,-,-,,,,0,,-,,-,,
摩托莫里尼 Corsaro 1200,,motorcycle,street car,domestic production,,V-type twin cylinder four stroke water-cooled  1200cc,,,,-,-,-,,830,,18,,-,,-,,
摩托莫里尼 Corsaro 1200 Special Edition,,motorcycle,street car,domestic production,,V-type twin cylinder four stroke water-cooled  1200cc,,,,-,-,-,,830,,18,,-,,-,,
摩托莫里尼 Corsaro 1200 Avio,,motorcycle,street car,domestic production,,V-type twin cylinder four stroke water-cooled  1200cc,,,,-,-,-,,830,,18,,-,,-,,
摩托莫里尼 Corsaro 1200 Veloce,,motorcycle,street car,domestic production,,V-type twin cylinder four stroke water-cooled  1200cc,,,,-,-,-,,830,,18,,-,,-,,
摩托莫里尼 Corsaro 1200 ZT,,motorcycle,street car,domestic production,,V-type twin cylinder four stroke water-cooled  1200cc,,,,-,standard,-,,860,,0,,-,,-,,
摩托莫里尼 Corsaro 1200 ZZ,,motorcycle,street car,domestic production,,V-type twin cylinder four stroke water-cooled  1200cc,,,,-,standard,-,,860,,0,,-,,-,,
摩托莫里尼 X-Cape 650,,motorcycle,tension,domestically produced,Zhejiang Morini Locomotive Co.,inline dual cylinder four stroke water-cooled  650cc,61.2,45/8500,,international 6-speed,standard,xx(mm),2200x900x1390,,,0,,-,,-,,
摩托莫里尼 Corsaro 1200 Ti22,,motorcycle,street car,domestic production,,V-type twin cylinder four stroke water-cooled  1200cc,116.1,85.4/8000,,-,standard,-,,830,202,0,,-,,-,,
摩托莫里尼 350 Coguaro,,motorcycle,street car,domestic production,,,,,,-,-,-,,,,22,,-,,-,,
摩托莫里尼 350 X2 / X3 kanguro,,motorcycle,street car,domestic production,,,,,,-,-,-,,,,14,,-,,-,,
摩托莫里尼 501 XE Camel,,motorcycle,tension,domestically produced,,V-type twin cylinder four stroke air-cooled  500cc,,,,-,-,-,,,,14,,-,,-,,
摩托莫里尼 250T Mono,,motorcycle,street car,domestic production,,single cylinder four stroke air-cooled,,,,-,-,-,,,138,12,,-,,-,,
摩托莫里尼 350 Excalibur,,motorcycle,street car,domestic production,,,,,,-,-,-,,,181,17,,-,,-,,
摩托莫里尼 350 K2,,motorcycle,street car,domestic production,,,,,,-,-,-,,,160,15,,-,,-,,
摩托莫里尼 400S,,motorcycle,street car,domestic production,,,,,,-,-,-,,,156,15,,-,,-,,
摩托莫里尼 500 GT,,motorcycle,street car,domestic production,,4-stroke air-cooled  500cc,,,,-,-,-,,,184,16,,-,,-,,
摩托莫里尼 500 Sport,,motorcycle,street car,domestic production,,4-stroke air-cooled  500cc,,,,-,-,-,,,184,16,,-,,-,,
摩托莫里尼 500 Sei-V Sport,,motorcycle,street car,domestic production,,V-type twin cylinder four stroke air-cooled  500cc,,,,-,-,-,,,,16,,-,,-,,
摩托莫里尼 9½,,motorcycle,street car,domestic production,,,,,,-,-,-,,,,21,,-,,-,,
摩托莫里尼 Dart 350 Sport,,motorcycle,street car,domestic production,,with 350cc,,,,-,-,-,,,,14,,-,,-,,
摩托莫里尼 Granpasso 1200,,motorcycle,street car,domestic production,,", 1200cc",,,,-,-,-,,875,,27,,-,,-,,
摩托莫里尼 Granpasso H83,,motorcycle,street car,domestic production,,", 1200cc",,,,-,-,-,,830,,27,,-,,-,,
摩托莫里尼 Granpasso H83 Travel Kit,,motorcycle,street car,domestic production,,", 1200cc",,,,-,-,-,,830,,27,,-,,-,,
摩托莫里尼 Rebello 1200 Giubileo,,motorcycle,street car,domestic production,,", 1200cc",,,,-,-,-,,,,0,,-,,-,,
摩托莫里尼 500 Camel,,motorcycle,street car,domestic production,,4-stroke air-cooled  500cc,,,,-,-,-,,,,15,,-,,-,,
